sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=82	elapsed_ms=0.006211
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=83	elapsed_ms=0.006182
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=84	elapsed_ms=0.006112
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=85	elapsed_ms=0.006111
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=86	elapsed_ms=0.006061
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=87	elapsed_ms=0.006181
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=88	elapsed_ms=0.006051
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=89	elapsed_ms=0.006212
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=90	elapsed_ms=0.006222
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=91	elapsed_ms=0.006101
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=92	elapsed_ms=0.006191
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=93	elapsed_ms=0.006171
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=94	elapsed_ms=0.006132
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=95	elapsed_ms=0.006091
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=96	elapsed_ms=0.006191
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=97	elapsed_ms=0.006141
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=98	elapsed_ms=0.006121
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	index=99	elapsed_ms=0.006071
result	phase=warm-update-persistent-sparse-sequential	transport=document-opened-list	samples=100	p50_ms=0.006172	p95_ms=0.012013	min_ms=0.006041	max_ms=0.028564	guest_linear_high_water_mib=15.312	source_forks=0	source_lens=200	source_reads=200	source_read_bytes=52400	source_streams=0	source_stream_bytes=0	source_stream_emitted_bytes=0	source_drops=200
check	name=immutable-fork-successor	status=ok	transport=bytes-stream-u8
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=0	elapsed_ms=0.006301
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=1	elapsed_ms=0.006192
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=2	elapsed_ms=0.006242
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=3	elapsed_ms=0.006192
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=4	elapsed_ms=0.006181
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=5	elapsed_ms=0.006213
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=6	elapsed_ms=0.006151
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=7	elapsed_ms=0.006091
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=8	elapsed_ms=0.006132
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=9	elapsed_ms=0.006312
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=10	elapsed_ms=0.006071
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=11	elapsed_ms=0.006171
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=12	elapsed_ms=0.006141
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=13	elapsed_ms=0.006272
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=14	elapsed_ms=0.006072
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=15	elapsed_ms=0.006141
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=16	elapsed_ms=0.006191
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=17	elapsed_ms=0.006162
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=18	elapsed_ms=0.006080
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=19	elapsed_ms=0.006021
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=20	elapsed_ms=0.006132
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=21	elapsed_ms=0.006212
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=22	elapsed_ms=0.006111
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=23	elapsed_ms=0.006242
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=24	elapsed_ms=0.006092
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=25	elapsed_ms=0.006101
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=26	elapsed_ms=0.006262
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=27	elapsed_ms=0.006251
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=28	elapsed_ms=0.006231
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=29	elapsed_ms=0.006171
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=30	elapsed_ms=0.006211
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=31	elapsed_ms=0.006121
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=32	elapsed_ms=0.006081
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=33	elapsed_ms=0.006213
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=34	elapsed_ms=0.006031
sample	phase=warm-update-persistent-sparse-sequential	transport=document-opened-bytes-stream	index=35	elapsed_ms=0.006011
