backend,operation,pk,n,geometry,samples,wall_p50_ns,wall_p95_ns,cpu_p50_ns,cpu_p95_ns,rss_max_kb,read_objects_p50,read_bytes_p50,writes_p50,write_bytes_p50,object_bytes_p50,settled_bytes_p50
model,hash_diff_1,uuid,1000,crit_bit,20,101080,137660,100000,138000,19624,62,11672,0,0,376033,0
model,hash_diff_1,uuid,10000,c2_slotted,20,1143223,1202483,1142000,1201000,49692,124,187988,0,0,1113180,0
model,hash_diff_1,uuid,10000,crit_bit,20,190589,208598,189000,207000,76668,86,16126,0,0,3760753,0
model,hash_diff_1,uuid,50000,c2_slotted,20,1649192,1705462,1646000,1705000,193076,160,255062,0,0,5547342,0
model,hash_diff_1,uuid,50000,crit_bit,20,240468,261759,238000,259000,329648,86,16278,0,0,18786825,0
model,hash_diff_1,uuid,100000,c2_slotted,20,1791721,1932821,1791000,1930000,373004,160,259516,0,0,11101162,0
model,hash_diff_1,uuid,100000,crit_bit,20,322279,372788,320000,369000,646628,104,19536,0,0,37549580,0
model,hash_diff_10,composite,1000,c2_slotted,20,2029219,2286889,2029000,2287000,17468,232,265574,0,0,117006,0
model,hash_diff_10,composite,1000,crit_bit,20,1236544,1374623,1236000,1374000,19904,434,93856,0,0,423215,0
model,hash_diff_10,composite,10000,c2_slotted,20,5951109,6321688,5951000,6321000,52152,654,810198,0,0,1145868,0
model,hash_diff_10,composite,10000,crit_bit,20,1992100,2460828,1990000,2437000,79324,632,137400,0,0,4233699,0
model,hash_diff_10,composite,50000,c2_slotted,20,8848526,9062534,8847000,9063000,205644,926,1214554,0,0,5734258,0
model,hash_diff_10,composite,100000,c2_slotted,20,10380358,11649182,10378000,11628000,393272,1030,1406236,0,0,11468707,0
model,hash_diff_10,integer,1000,c2_slotted,20,1774961,1810461,1775000,1811000,17380,204,216718,0,0,94541,0
model,hash_diff_10,integer,1000,crit_bit,20,987944,1048005,987000,1046000,19688,374,53706,0,0,326138,0
model,hash_diff_10,integer,10000,c2_slotted,20,7023935,7286603,7024000,7287000,49424,844,915386,0,0,942143,0
